Name,Research unit(s),URL,Research
Michael Joseph Freedman,"Computer Science, Center for Information Technology Policy",https://collaborate.princeton.edu/en/persons/michael-joseph-freedman,"Computer Science, Center Information Technology Policy"
Aaron Louis Friedberg,Princeton School of Public and International Affairs,https://collaborate.princeton.edu/en/persons/aaron-louis-friedberg,Princeton School of Public and International Affairs
Paul Frymer,Politics,https://collaborate.princeton.edu/en/persons/paul-frymer,Politics
Tian-Ming Fu,Electrical and Computer Engineering,https://collaborate.princeton.edu/en/persons/tian-ming-fu,Electrical and Computer Engineering
Stephan Andreas Fueglistaler,"Geosciences, Atmospheric & Oceanic Sciences, High Meadows Environmental Institute, Princeton Institute for Computational Science and Engineering",https://collaborate.princeton.edu/en/persons/stephan-andreas-fueglistaler,"Geosciences, Atmospheric Oceanic Sciences, High Meadows Environmental Institute, Princeton Institute Computational Science and Engineering"
Thomas Fujiwara,Economics,https://collaborate.princeton.edu/en/persons/thomas-fujiwara,Economics
Diana Jean Fuss,English,https://collaborate.princeton.edu/en/persons/diana-jean-fuss,English
David Gabai,Mathematics,https://collaborate.princeton.edu/en/persons/david-gabai,Mathematics
Cristiano Galbiati,Physics,https://collaborate.princeton.edu/en/persons/cristiano-galbiati,Physics
Ruben Gallo,Spanish & Portuguese,https://collaborate.princeton.edu/en/persons/ruben-gallo,Spanish Portuguese
Daniel Garber,Philosophy,https://collaborate.princeton.edu/en/persons/daniel-garber,Philosophy
Lorgia Garcia Pena,Effron Center Study of America,https://collaborate.princeton.edu/en/persons/lorgia-garcia-pena,Effron Center Study of America
Filiz Garip,Sociology,https://collaborate.princeton.edu/en/persons/filiz-garip,Sociology
Maria Eugenia Moreyra Garlock,"Civil & Environmental Engineering, High Meadows Environmental Institute",https://collaborate.princeton.edu/en/persons/maria-eugenia-moreyra-garlock,"Civil Environmental Engineering, High Meadows Environmental Institute"
Sheldon Marc Garon,History,https://collaborate.princeton.edu/en/persons/sheldon-marc-garon,History
Varun Gauri,Princeton School of Public and International Affairs,https://collaborate.princeton.edu/en/persons/varun-gauri,Princeton School of Public and International Affairs
Elizabeth Rose Gavis,Molecular Biology,https://collaborate.princeton.edu/en/persons/elizabeth-rose-gavis,Molecular Biology
Tangli Ge,Mathematics,https://collaborate.princeton.edu/en/persons/tangli-ge,Mathematics
Sophie Graham Gee,English,https://collaborate.princeton.edu/en/persons/sophie-graham-gee,English
Jason Geller,Psychology,https://collaborate.princeton.edu/en/persons/jason-geller,Psychology
Robert Peter George,Politics,https://collaborate.princeton.edu/en/persons/robert-peter-george,Politics
Behrooz Ghamari-Tabrizi,Near Eastern Studies,https://collaborate.princeton.edu/en/persons/behrooz-ghamari-tabrizi,Near Eastern Studies
Yasaman Ghasempour,Electrical and Computer Engineering,https://collaborate.princeton.edu/en/persons/yasaman-ghasempour,Electrical and Computer Engineering
Asif A. Ghazanfar,"Psychology, Princeton Neuroscience Institute",https://collaborate.princeton.edu/en/persons/asif-a-ghazanfar,"Psychology, Princeton Neuroscience Institute"
German Sergio Gieczewski,Politics,https://collaborate.princeton.edu/en/persons/german-sergio-gieczewski,Politics
Simon Eliud Gikandi,English,https://collaborate.princeton.edu/en/persons/simon-eliud-gikandi,English
Maia Ginsburg,Computer Science,https://collaborate.princeton.edu/en/persons/maia-ginsburg,Computer Science
Simone Giombi,Physics,https://collaborate.princeton.edu/en/persons/simone-giombi,Physics
Zemer Gitai,"Molecular Biology, High Meadows Environmental Institute, Lewis-Sigler Institute for Integrative Genomics, Princeton Branch of the Ludwig Institute for Cancer Research",https://collaborate.princeton.edu/en/persons/zemer-gitai,"Molecular Biology, High Meadows Environmental Institute, Lewis-Sigler Institute Integrative Genomics, Princeton Branch of Ludwig Institute Cancer Research"
Alexander Glaser,"Princeton School of Public and International Affairs, Mechanical & Aerospace Engineering",https://collaborate.princeton.edu/en/persons/alexander-glaser,"Princeton School of Public and International Affairs, Mechanical Aerospace Engineering"
Eddie Steven Glaude,African American Studies,https://collaborate.princeton.edu/en/persons/eddie-steven-glaude,African American Studies
Yonatan Glazer-Eytan,History,https://collaborate.princeton.edu/en/persons/yonatan-glazer-eytan,History
William Albert Gleason,English,https://collaborate.princeton.edu/en/persons/william-albert-gleason,English
Branko Glisic,"Civil & Environmental Engineering, Keller Center for Innovation in Engineering Education, Princeton Materials Institute",https://collaborate.princeton.edu/en/persons/branko-glisic,"Civil Environmental Engineering, Keller Center Innovation in Engineering Education, Princeton Materials Institute"
Claire F. Gmachl,"Electrical and Computer Engineering, High Meadows Environmental Institute, Keller Center for Innovation in Engineering Education, Princeton Materials Institute",https://collaborate.princeton.edu/en/persons/claire-f-gmachl,"Electrical and Computer Engineering, High Meadows Environmental Institute, Keller Center Innovation in Engineering Education, Princeton Materials Institute"
Jonathan C. Gold,Religion,https://collaborate.princeton.edu/en/persons/jonathan-c-gold,Religion
